Rk,Tkl-Tack,TklW-Tack,Def3rd-Tack,Mid3rd-Tack,Att3rd-Tack,Tkl-Chal,Att-Chal,Tkl%-Chal,Lost-Chal,Blocks-Bloc,Sh-Tack-Bloc,Pass-Tack-Bloc,Int,Tkl+Int,Clr,Err
1,64,44,49,15,0,37,55,67.3,18,39,19,20,28,92,96,1
2,48,27,34,14,0,16,32,50,16,50,25,25,68,116,104,0
3,43,23,25,16,2,20,57,35.1,37,18,1,17,42,85,15,0
4,110,60,44,53,13,71,166,42.8,95,58,1,57,55,165,13,0
5,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,0
6,11,7,4,5,2,2,10,20,8,12,1,11,4,15,8,0
7,0,0,0,0,0,0,0,,0,2,0,2,0,0,1,0
8,27,13,7,14,6,9,22,40.9,13,17,3,14,5,32,27,0
9,6,3,3,3,0,2,4,50,2,6,5,1,5,11,37,1
10,25,12,15,9,1,12,19,63.2,7,37,28,9,34,59,92,0
11,2,0,0,1,1,1,4,25,3,3,0,3,0,2,1,0
12,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
13,50,29,27,14,9,30,46,65.2,16,22,5,17,14,64,25,1
14,13,6,5,5,3,2,16,12.5,14,18,2,16,8,21,18,0
15,23,7,5,16,2,7,25,28,18,24,1,23,16,39,19,2
16,8,6,3,4,1,3,11,27.3,8,4,0,4,1,9,2,0
17,15,11,5,8,2,8,16,50,8,0,0,0,11,26,6,0
18,27,14,10,14,3,8,15,53.3,7,26,2,24,11,38,12,0
19,43,27,22,14,7,19,68,27.9,49,33,3,30,37,80,11,2
20,14,5,5,8,1,6,11,54.5,5,4,1,3,6,20,3,0
21,10,3,1,6,3,4,7,57.1,3,4,0,4,3,13,0,0
22,34,22,17,11,6,18,37,48.6,19,20,3,17,25,59,38,0
23,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
24,51,31,24,20,7,23,45,51.1,22,30,9,21,52,103,27,1
25,44,26,13,26,5,7,20,35,13,22,0,22,8,52,6,0
26,27,18,16,11,0,14,24,58.3,10,24,14,10,24,51,127,1
27,1,1,0,0,1,0,2,0,2,0,0,0,0,1,0,0
28,78,53,39,32,7,43,68,63.2,25,19,4,15,44,122,57,0
29,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
30,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,0,0
31,38,26,27,9,2,20,31,64.5,11,16,8,8,22,60,44,0
32,16,9,4,9,3,5,19,26.3,14,8,1,7,19,35,7,0
33,39,26,28,10,1,17,31,54.8,14,23,13,10,38,77,96,3
34,27,19,11,10,6,15,23,65.2,8,17,3,14,28,55,30,0
35,64,36,46,15,3,22,44,50,22,24,2,22,22,86,39,1
36,29,18,21,6,2,13,21,61.9,8,19,11,8,26,55,74,0
37,36,25,5,19,12,7,40,17.5,33,28,3,25,8,44,31,1
38,33,23,20,11,2,22,32,68.8,10,26,15,11,35,68,58,0
39,43,31,26,15,2,21,37,56.8,16,26,7,19,51,94,61,0
40,0,0,0,0,0,0,2,0,2,0,0,0,1,1,0,0
41,16,9,7,8,1,6,8,75,2,7,5,2,8,24,23,0
42,2,0,0,1,1,0,0,,0,0,0,0,0,2,0,0
43,2,0,0,2,0,0,1,0,1,2,0,2,0,2,0,0
44,14,9,5,7,2,8,12,66.7,4,6,0,6,11,25,6,0
45,17,10,7,9,1,7,12,58.3,5,4,2,2,2,19,6,0
46,33,19,16,11,6,16,28,57.1,12,32,2,30,20,53,29,2
47,23,13,15,6,2,9,19,47.4,10,26,15,11,22,45,70,1
48,7,4,3,4,0,2,5,40,3,4,0,4,1,8,4,0
49,31,20,17,10,4,10,31,32.3,21,19,7,12,30,61,31,0
50,6,5,0,2,4,2,5,40,3,5,0,5,1,7,6,0
51,47,34,12,26,9,27,47,57.4,20,26,6,20,33,80,41,1
52,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0
53,29,17,8,11,10,8,52,15.4,44,32,4,28,13,42,7,0
54,26,15,20,5,1,14,18,77.8,4,24,15,9,21,47,126,1
55,31,19,16,9,6,10,47,21.3,37,15,3,12,14,45,20,0
56,9,3,2,4,3,1,5,20,4,7,0,7,6,15,1,0
57,48,29,14,24,10,10,42,23.8,32,22,2,20,26,74,13,2
58,41,20,14,24,3,22,45,48.9,23,10,2,8,13,54,14,0
59,53,34,34,17,2,34,53,64.2,19,30,18,12,35,88,153,0
60,33,15,21,10,2,15,44,34.1,29,12,0,12,8,41,17,0
61,0,0,0,0,0,0,0,,0,0,0,0,0,0,9,1
62,27,19,11,13,3,9,48,18.8,39,21,2,19,15,42,16,0
63,40,23,19,13,8,27,60,45,33,22,4,18,43,83,40,0
