Rk,Att,Live-Pass,Dead-Pass,FK-Pass,TB-Pass,Sw-Pass,Crs-Pass,TI-Pass,CK-Pass,In-Corn,Out-Corn,Str-Corn,Cmp-Outc,Off-Outc,Blocks-Outc
1,1469,1130,332,17,5,4,50,315,0,0,0,0,1107,7,40
2,1578,1471,101,89,0,32,4,9,0,0,0,0,1284,6,26
3,1701,1678,21,17,1,3,14,4,0,0,0,0,1535,2,29
4,1660,1617,35,25,7,21,37,8,2,0,1,0,1342,8,49
5,7,7,0,0,0,0,1,0,0,0,0,0,3,0,0
6,137,129,6,0,2,0,3,0,0,0,0,0,84,2,6
7,9,9,0,0,0,0,0,0,0,0,0,0,7,0,0
8,696,627,67,6,5,1,16,2,0,0,0,0,485,2,20
9,226,216,9,5,0,0,0,2,0,0,0,0,191,1,4
10,2043,1955,87,77,1,34,3,1,0,0,0,0,1837,1,6
11,64,61,2,0,0,1,6,2,0,0,0,0,37,1,4
12,9,9,0,0,0,0,0,0,0,0,0,0,6,0,0
13,1963,1624,333,63,3,30,178,230,40,0,31,0,1543,6,30
14,472,468,2,0,4,5,8,1,0,0,0,0,304,2,22
15,918,882,32,16,1,0,2,14,0,0,0,0,794,4,15
16,101,95,5,0,0,0,5,5,0,0,0,0,73,1,3
17,147,138,8,4,0,0,11,0,4,0,4,0,107,1,12
18,516,494,17,1,6,0,21,11,1,0,0,0,376,5,27
19,1251,1105,138,48,11,30,114,12,68,38,17,1,906,8,25
20,239,225,13,5,0,1,7,1,7,0,4,0,205,1,5
21,152,145,7,0,0,2,8,5,0,0,0,0,114,0,4
22,792,610,179,6,0,5,45,172,1,0,0,0,547,3,16
23,82,49,33,7,0,0,0,0,0,0,0,0,62,0,0
24,996,955,38,30,0,10,5,0,1,0,1,0,836,3,20
25,389,375,11,1,0,1,22,4,4,3,1,0,280,3,22
26,2204,2127,74,69,2,41,1,5,0,0,0,0,1959,3,12
27,42,40,2,0,0,0,3,0,0,0,0,0,30,0,0
28,1728,1445,277,34,4,16,64,242,1,0,1,0,1435,6,27
29,3,2,1,0,0,0,0,1,0,0,0,0,3,0,0
30,32,32,0,0,0,0,0,0,0,0,0,0,28,0,0
31,858,826,31,23,0,7,6,8,0,0,0,0,766,1,3
32,412,404,8,8,1,2,6,0,0,0,0,0,339,0,11
33,1567,1531,32,13,1,11,3,19,0,0,0,0,1270,4,9
34,755,600,151,9,1,0,34,142,0,0,0,0,535,4,30
35,1025,811,211,10,1,7,96,172,29,11,16,0,763,3,19
36,892,734,154,6,2,3,17,148,0,0,0,0,627,4,28
37,906,880,24,1,5,10,17,2,0,0,0,0,653,2,16
38,2013,1944,66,59,1,26,3,7,0,0,0,0,1819,3,10
39,832,672,158,18,1,3,45,140,0,0,0,0,611,2,20
40,16,16,0,0,0,0,1,0,0,0,0,0,12,0,1
41,878,836,41,15,1,2,1,26,0,0,0,0,796,1,5
42,55,55,0,0,1,0,6,0,0,0,0,0,45,0,2
43,22,22,0,0,0,0,1,0,0,0,0,0,20,0,0
44,325,320,4,4,0,3,1,0,0,0,0,0,284,1,4
45,106,106,0,0,0,0,0,0,0,0,0,0,89,0,8
46,917,742,172,13,0,7,31,159,0,0,0,0,691,3,24
47,1968,1888,74,34,4,2,40,34,3,3,0,0,1788,6,9
48,103,90,13,1,0,1,2,12,0,0,0,0,83,0,7
49,572,503,65,29,2,15,64,3,33,14,14,0,398,4,18
50,171,159,12,0,1,1,1,2,0,0,0,0,115,0,9
51,2795,2416,365,96,13,12,121,268,1,0,0,0,2334,14,38
52,6,5,1,0,0,0,0,1,0,0,0,0,5,0,0
53,1970,1751,211,82,18,9,143,12,104,47,40,0,1626,8,29
54,1560,1502,57,55,0,12,3,1,0,0,0,0,1339,1,12
55,558,452,101,15,2,3,78,48,37,27,6,0,347,5,27
56,175,151,22,0,2,2,1,2,0,0,0,0,123,2,5
57,1508,1488,18,10,4,17,4,4,1,0,1,0,1340,2,13
58,667,623,43,34,3,16,23,2,7,1,3,0,556,1,13
59,961,899,57,52,0,41,4,2,0,0,0,0,580,5,6
60,329,319,9,3,0,2,97,6,0,0,0,0,193,1,18
61,391,293,98,28,0,1,0,0,0,0,0,0,287,0,0
62,869,827,39,24,2,10,44,2,11,5,5,0,683,3,25
63,2757,2204,548,93,17,69,273,324,131,29,89,0,2039,5,34
64,314,304,9,2,1,0,23,3,0,0,0,0,220,1,12
65,1388,1154,234,62,0,3,0,0,0,0,0,0,1214,0,0
66,982,912,66,19,1,2,10,10,0,0,0,0,778,4,26
67,545,524,16,3,1,5,34,4,9,5,1,0,416,5,18
68,228,210,17,4,1,1,5,4,0,0,0,0,177,1,6
69,157,140,14,3,3,1,1,5,1,0,0,0,114,3,4
70,511,500,8,3,0,2,20,3,0,0,0,0,402,3,19
71,1486,1190,293,27,2,8,149,199,67,38,23,0,1142,3,39
72,799,712,83,12,0,3,27,71,0,0,0,0,531,4,11
73,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
74,1019,966,51,50,0,10,3,1,0,0,0,0,832,2,9
75,1089,925,159,32,6,14,75,93,34,12,16,0,915,5,11
76,233,230,3,2,1,0,0,1,0,0,0,0,204,0,4
77,439,430,9,9,0,5,0,0,0,0,0,0,384,0,2
78,39,31,8,0,0,0,4,8,0,0,0,0,26,0,1
79,1546,1516,28,19,0,2,0,9,0,0,0,0,1399,2,16
80,202,196,5,0,2,0,7,3,1,0,0,0,159,1,9
81,319,272,46,4,0,2,6,42,0,0,0,0,269,1,5
82,86,69,17,2,0,2,2,15,0,0,0,0,74,0,1
83,29,25,4,4,0,0,0,0,0,0,0,0,20,0,0
84,1133,862,267,18,1,1,24,249,0,0,0,0,887,4,35
85,299,255,41,13,2,0,20,2,12,2,7,0,222,3,3
86,222,209,12,2,0,2,8,3,6,1,5,0,183,1,5
87,1165,1037,123,41,4,10,20,80,0,0,0,0,867,5,26
88,716,685,31,31,1,9,6,0,0,0,0,0,645,0,8
89,2351,2252,95,86,3,32,8,5,0,0,0,0,1911,4,11
90,1436,1342,90,6,5,6,86,32,13,8,3,0,1118,4,36
91,234,227,7,0,0,1,9,1,0,0,0,0,147,0,10
92,38,32,6,0,0,0,0,0,0,0,0,0,25,0,1
93,535,441,93,5,1,1,21,88,0,0,0,0,350,1,18
94,1766,1705,55,44,4,19,19,11,0,0,0,0,1404,6,33
95,166,131,35,3,1,0,5,32,0,0,0,0,133,0,5
96,1011,987,18,16,8,1,6,2,0,0,0,0,811,6,9
97,785,629,154,23,0,32,46,131,0,0,0,0,590,2,9
98,1516,1201,304,47,0,6,187,205,52,26,9,0,1082,11,20
99,11,8,3,0,0,0,1,3,0,0,0,0,4,0,0
100,407,318,86,8,2,4,57,68,10,4,2,0,285,3,4
101,215,195,19,0,1,0,12,6,0,0,0,0,136,1,6
102,1826,1744,80,45,1,20,11,32,0,0,0,0,1541,2,14
103,28,26,2,1,0,0,0,0,0,0,0,0,23,0,0
104,702,675,20,2,4,9,63,16,0,0,0,0,438,7,39
105,253,223,29,1,3,0,29,27,1,0,0,0,153,1,20
106,1446,1379,64,23,13,10,21,15,10,6,0,0,1243,3,29
107,614,550,61,18,1,18,68,3,38,14,14,0,457,3,14
108,1001,856,141,10,1,0,38,131,0,0,0,0,756,4,18
109,1266,1104,157,88,0,32,116,2,66,28,34,0,933,5,29
110,795,603,184,43,6,6,144,21,66,33,28,0,524,8,24
111,1094,1035,53,44,7,13,9,8,1,0,1,0,916,6,27
112,1555,1509,41,38,0,8,3,3,0,0,0,0,1326,5,8
113,1662,1566,92,47,0,21,7,44,0,0,0,0,1491,4,6
114,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
115,40,23,17,3,0,0,0,0,0,0,0,0,21,0,0
116,73,40,33,0,0,0,2,33,0,0,0,0,49,0,0
117,38,35,3,1,0,0,4,1,0,0,0,0,18,0,1
118,218,166,50,1,0,0,15,49,0,0,0,0,153,2,2
119,324,283,40,0,4,1,18,2,0,0,0,0,229,1,6
120,744,701,40,3,3,2,35,8,2,0,1,0,590,3,25
121,908,851,51,1,4,1,12,9,0,0,0,0,659,6,24
122,1869,1602,255,145,5,40,182,7,102,63,33,1,1453,12,21
123,138,110,28,7,0,0,0,0,0,0,0,0,115,0,0
124,677,649,28,19,2,2,33,1,7,2,5,0,532,0,13
125,142,126,16,0,1,2,2,0,0,0,0,0,110,0,5
126,170,145,21,4,0,1,18,12,5,3,2,0,105,4,4
127,378,372,5,0,4,2,34,4,0,0,0,0,244,1,24
128,1168,1100,63,55,1,4,2,6,0,0,0,0,959,5,24
129,228,166,60,4,0,1,0,0,0,0,0,0,185,2,0
130,8,8,0,0,0,1,1,0,0,0,0,0,7,0,0
131,894,809,80,14,0,14,71,16,45,26,3,0,731,5,24
132,7,6,1,0,0,0,0,1,0,0,0,0,7,0,0
133,226,215,8,5,0,1,2,2,0,0,0,0,147,3,5
134,8,8,0,0,0,0,0,0,0,0,0,0,6,0,0
135,779,718,60,36,1,6,29,4,19,9,7,0,638,1,7
136,1371,1266,97,38,11,17,108,18,32,21,5,0,968,8,47
137,383,300,81,4,0,0,21,77,0,0,0,0,306,2,13
138,401,308,92,2,0,2,16,90,0,0,0,0,282,1,13
139,738,617,120,8,4,2,54,111,1,0,0,0,556,1,17
140,208,204,2,0,2,0,11,1,0,0,0,0,137,2,9
141,238,218,20,0,2,0,5,0,0,0,0,0,176,0,7
142,1005,698,300,88,0,2,0,0,0,0,0,0,706,7,0
143,1368,1094,271,34,1,3,74,233,4,0,0,0,1050,3,48
144,14,12,2,0,0,0,0,0,0,0,0,0,11,0,0
145,551,442,107,7,0,3,47,81,19,0,15,1,437,2,10
146,742,646,94,10,0,2,27,84,0,0,0,0,623,2,12
147,556,526,24,6,2,12,79,8,4,2,1,0,307,6,21
148,474,458,12,0,5,0,10,2,0,0,0,0,313,4,17
149,27,20,7,2,0,0,1,5,0,0,0,0,19,0,0
150,754,738,14,3,8,2,74,9,2,0,0,0,576,2,30
151,871,824,43,37,3,12,2,3,0,0,0,0,790,4,2
152,1592,1412,171,36,5,24,31,134,0,0,0,0,1224,9,29
153,148,139,9,2,0,0,1,7,0,0,0,0,102,0,5
154,108,103,3,0,3,0,2,0,0,0,0,0,79,2,3
155,1787,1627,153,25,1,0,47,128,0,0,0,0,1486,7,31
156,779,760,17,16,0,6,5,1,0,0,0,0,617,2,19
157,99,92,7,0,1,0,4,2,0,0,0,0,62,0,3
158,364,237,125,38,0,0,0,0,0,0,0,0,216,2,0
159,729,718,10,8,0,4,2,2,0,0,0,0,655,1,1
160,1575,1522,43,39,4,12,10,4,0,0,0,0,1230,10,28
161,830,542,286,76,0,0,0,0,0,0,0,0,565,2,0
162,1380,1352,27,24,1,15,1,3,0,0,0,0,1212,1,8
163,35,34,1,0,0,0,1,0,0,0,0,0,22,0,1
164,5,5,0,0,0,0,1,0,0,0,0,0,4,0,0
165,4,1,3,2,0,0,0,0,0,0,0,0,0,0,0
166,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0
167,218,203,15,0,1,0,10,2,0,0,0,0,157,0,10
168,226,209,16,1,1,3,33,4,11,10,1,0,150,1,8
169,85,81,4,4,0,1,0,0,0,0,0,0,68,0,1
170,84,81,3,3,0,1,0,0,0,0,0,0,79,0,0
171,186,127,58,14,0,1,0,0,0,0,0,0,130,1,0
172,898,730,163,32,5,4,156,8,97,40,47,0,621,5,31
173,67,62,5,0,0,0,3,1,0,0,0,0,50,0,0
174,136,132,4,4,0,0,0,0,0,0,0,0,93,0,4
175,304,303,1,1,0,2,1,0,0,0,0,0,269,0,3
176,1228,1046,181,15,2,6,37,166,0,0,0,0,994,1,28
177,1338,1109,222,17,2,5,73,200,5,1,0,0,1011,7,31
