Rk,Tkl.Tack,TklW.Tack,Def 3rd.Tack,Mid 3rd.Tack,Att 3rd.Tack,Tkl.Chal,Att.Chal,Tkl%.Chal,Lost.Chal,Blocks,Sh.Bloc,.Bloc,Int,Tkl+Int,Clr,Err
1,38,14,13,19,6,12,39,30.8,27,39,3,36,4,42,6,1
2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
3,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
4,71,42,42,28,1,32,41,78,9,57,22,35,55,126,106,1
5,43,23,15,21,7,19,37,51.4,18,19,1,18,17,60,12,0
6,41,23,15,22,4,24,43,55.8,19,34,8,26,31,72,17,0
7,70,42,47,21,2,26,61,42.6,35,30,6,24,19,89,27,0
8,2,2,1,0,1,1,4,25,3,2,0,2,1,3,3,0
9,3,1,0,2,1,0,5,0,5,5,1,4,1,4,1,0
10,1,1,0,0,1,1,1,100,0,1,0,1,2,3,1,0
11,11,8,9,2,0,7,13,53.8,6,5,2,3,6,17,15,0
12,27,20,12,6,9,10,37,27,27,14,1,13,20,47,19,0
13,12,7,3,5,4,3,13,23.1,10,10,4,6,3,15,10,0
14,1,0,1,0,0,0,2,0,2,0,0,0,0,1,0,0
15,27,15,17,6,4,16,22,72.7,6,13,7,6,29,56,58,0
16,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
17,1,1,1,0,0,1,1,100,0,0,0,0,0,1,0,0
18,49,29,31,13,5,24,34,70.6,10,13,5,8,19,68,27,0
19,17,13,7,8,2,7,11,63.6,4,13,4,9,4,21,19,0
20,89,46,44,35,10,50,77,64.9,27,48,8,40,35,124,29,0
21,13,6,4,3,6,6,14,42.9,8,12,0,12,3,16,5,0
22,15,6,11,3,1,7,11,63.6,4,11,8,3,16,31,80,1
23,3,3,2,1,0,3,4,75,1,3,1,2,3,6,3,0
24,11,7,3,5,3,6,20,30,14,11,0,11,6,17,1,0
25,12,9,3,4,5,3,11,27.3,8,24,2,22,5,17,6,0
26,6,3,2,4,0,2,2,100,0,2,0,2,1,7,1,0
27,10,4,3,4,3,2,12,16.7,10,12,2,10,6,16,6,0
28,6,3,4,1,1,2,7,28.6,5,4,1,3,1,7,3,0
29,55,35,41,12,2,33,48,68.8,15,24,9,15,26,81,89,3
30,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
31,29,15,11,10,8,12,21,57.1,9,8,1,7,20,49,16,0
32,1,0,0,1,0,0,0,,0,1,1,0,0,1,0,0
33,20,11,12,6,2,12,19,63.2,7,13,3,10,9,29,9,0
34,63,33,17,27,19,21,52,40.4,31,35,5,30,9,72,6,0
35,16,12,11,5,0,9,12,75,3,12,11,1,13,29,47,2
36,16,6,7,4,5,6,15,40,9,7,0,7,14,30,25,1
37,3,2,3,0,0,1,3,33.3,2,2,0,2,0,3,0,0
38,17,11,7,7,3,8,20,40,12,16,5,11,8,25,7,0
39,1,1,0,1,0,0,1,0,1,0,0,0,1,2,0,0
40,31,19,10,18,3,11,27,40.7,16,19,0,19,24,55,11,0
41,44,30,29,14,1,15,23,65.2,8,23,12,11,24,68,125,0
42,15,11,5,7,3,8,14,57.1,6,11,2,9,9,24,26,0
43,33,20,25,7,1,9,14,64.3,5,3,0,3,9,42,27,0
44,47,28,28,17,2,28,42,66.7,14,22,12,10,22,69,46,2
45,11,8,5,4,2,9,16,56.3,7,6,5,1,7,18,22,0
46,5,4,1,4,0,3,9,33.3,6,3,1,2,2,7,7,0
47,3,3,1,1,1,0,4,0,4,8,2,6,0,3,5,0
48,27,18,11,13,3,19,31,61.3,12,25,8,17,14,41,26,0
49,22,8,13,7,2,9,13,69.2,4,17,9,8,18,40,38,0
50,27,16,19,6,2,12,18,66.7,6,22,6,16,13,40,37,0
51,6,3,3,3,0,1,5,20,4,2,0,2,3,9,2,0
52,10,6,8,2,0,8,13,61.5,5,0,0,0,6,16,2,1
53,37,28,18,14,5,13,22,59.1,9,29,4,25,12,49,23,0
54,66,37,40,23,3,27,37,73,10,40,13,27,16,82,48,1
55,14,11,7,4,3,9,15,60,6,17,9,8,14,28,33,1
56,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
57,3,2,0,2,1,1,2,50,1,1,0,1,2,5,2,0
58,3,2,1,0,2,0,1,0,1,0,0,0,1,4,12,0
59,20,14,10,10,0,11,25,44,14,9,4,5,10,30,19,0
60,31,17,14,12,5,15,50,30,35,26,5,21,6,37,3,0
61,25,17,17,6,2,14,18,77.8,4,17,13,4,14,39,107,0
62,4,1,0,2,2,1,8,12.5,7,6,2,4,1,5,5,0
63,43,24,20,21,2,14,22,63.6,8,14,3,11,19,62,12,2
64,5,3,0,4,1,3,8,37.5,5,8,3,5,1,6,8,0
65,34,24,19,14,1,15,40,37.5,25,14,5,9,15,49,27,0
66,24,14,14,10,0,18,26,69.2,8,14,9,5,18,42,52,0
67,28,19,17,7,4,16,32,50,16,13,2,11,2,30,10,1
