Rk,SCA,SCA90,PassLive.SCA,PassDead.SCA,TO.SCA,Sh.SCA,Fld.SCA,Def.SCA,GCA,GCA90,PassLive.GCA,PassDead.GCA,TO.GCA,Sh.GCA,Fld.GCA,Def.GCA
1,86,3.61,52,16,7,3,7,1,7,0.29,3,1,0,1,1,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,37,1.23,29,0,2,4,0,2,6,0.2,3,0,2,1,0,0
5,43,2.72,37,1,2,1,0,2,0,0,0,0,0,0,0,0
6,47,1.68,40,0,2,2,2,1,1,0.04,1,0,0,0,0,0
7,24,1.32,19,2,1,1,0,1,1,0.06,1,0,0,0,0,0
8,1,1.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,13,1.75,8,0,4,0,1,0,3,0.4,1,0,1,0,1,0
10,7,5.94,2,0,0,3,1,1,2,1.7,0,0,0,0,1,1
11,6,1.38,3,1,1,1,0,0,1,0.23,1,0,0,0,0,0
12,60,2.6,33,0,8,10,8,1,6,0.26,3,0,1,1,1,0
13,61,3.03,39,0,5,10,7,0,9,0.45,4,0,1,3,1,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,23,1.16,20,1,0,2,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,46,2.74,33,9,1,3,0,0,3,0.18,3,0,0,0,0,0
19,54,2.59,42,1,2,4,5,0,6,0.29,4,0,0,0,2,0
20,43,1.79,42,0,0,0,1,0,1,0.04,1,0,0,0,0,0
21,21,2.98,15,0,0,6,0,0,3,0.43,1,0,0,2,0,0
22,11,0.78,9,0,0,2,0,0,0,0,0,0,0,0,0,0
23,2,1.68,2,0,0,0,0,0,0,0,0,0,0,0,0,0
24,34,3.53,25,0,2,3,3,1,7,0.73,5,0,1,1,0,0
