Rk,Cmp.Tota,Att.Tota,Cmp%.Tota,TotDist.Tota,PrgDist.Tota,Cmp.Shor,Att.Shor,Cmp%.Shor,Cmp.Medi,Att.Medi,Cmp%.Medi,Cmp.Long,Att.Long,Cmp%.Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
1,544,730,74.5,6911,2030,315,386,81.6,137,179,76.5,23,57,40.4,3,4.1,2.5,-1.1,43,42,15,4,79
2,4,4,100,49,0,3,3,100,1,1,100,0,0,,0,0,0,0,0,0,0,0,0
3,5,5,100,73,12,2,2,100,2,2,100,0,0,,0,0,0,0,0,0,0,0,0
4,1288,1571,82,25205,10637,364,425,85.6,783,872,89.8,120,224,53.6,1,0.4,0.6,+0.6,10,111,3,0,167
5,615,762,80.7,10588,2571,270,324,83.3,251,301,83.4,69,95,72.6,0,2,1.5,-2,24,66,19,4,93
6,1594,1738,91.7,25308,6089,770,828,93,681,718,94.8,88,112,78.6,1,1.5,2,-0.5,16,146,15,3,142
7,793,910,87.1,13229,4810,366,394,92.9,340,381,89.2,60,92,65.2,1,1.1,0.8,-0.1,10,79,7,0,91
8,11,22,50,129,76,7,10,70,3,8,37.5,0,1,0,0,0.1,0,-0.1,1,1,0,0,1
9,60,89,67.4,999,191,23,32,71.9,28,36,77.8,4,9,44.4,1,0.7,0.2,+0.3,4,5,3,1,7
10,7,15,46.7,129,30,3,6,50,3,4,75,1,1,100,0,0.3,0.2,-0.3,2,1,1,0,2
11,164,221,74.2,2469,1094,91,103,88.3,55,77,71.4,10,24,41.7,0,0.1,0.5,-0.1,1,10,2,1,11
12,438,615,71.2,5589,1488,288,356,80.9,116,159,73,8,23,34.8,5,2.8,2.3,+2.2,16,21,15,1,58
13,276,410,67.3,4023,967,161,210,76.7,83,135,61.5,20,27,74.1,3,2.9,1.9,+0.1,27,13,11,1,40
14,9,9,100,129,4,5,5,100,4,4,100,0,0,,0,0,0,0,0,0,0,0,0
15,1076,1226,87.8,20217,6077,390,435,89.7,549,600,91.5,117,155,75.5,1,0.6,0.9,+0.4,9,66,11,3,84
16,7,8,87.5,151,113,2,2,100,4,4,100,1,2,50,0,0,0,0,0,0,0,0,0
17,18,21,85.7,274,76,7,7,100,10,12,83.3,0,1,0,0,0,0,0,1,1,0,0,3
18,769,1030,74.7,14524,5541,348,387,89.9,307,389,78.9,106,214,49.5,1,2.8,4,-1.8,25,48,33,15,83
19,303,460,65.9,4252,975,191,261,73.2,67,101,66.3,25,36,69.4,3,2.8,2.2,+0.2,24,20,10,2,30
20,1108,1343,82.5,16592,5061,607,686,88.5,390,460,84.8,63,107,58.9,0,1.4,1,-1.4,24,110,13,0,136
21,118,172,68.6,1928,470,58,72,80.6,46,62,74.2,10,16,62.5,2,0.8,1.4,+1.2,8,6,11,2,23
22,605,743,81.4,12389,4614,155,178,87.1,387,433,89.4,57,112,50.9,0,0.2,0.2,-0.2,3,48,3,0,56
23,29,41,70.7,390,93,12,18,66.7,11,14,78.6,1,3,33.3,0,0,0,0,0,2,0,0,3
24,231,314,73.6,2902,808,139,169,82.2,65,83,78.3,6,16,37.5,2,2.1,1.7,-0.1,14,13,12,0,28
25,307,407,75.4,4241,971,171,214,79.9,98,116,84.5,15,27,55.6,3,1.5,1.6,+1.5,17,22,8,0,39
26,43,65,66.2,778,231,20,25,80,14,20,70,7,13,53.8,0,0.1,0.1,-0.1,1,5,2,0,9
27,377,466,80.9,5715,1656,201,226,88.9,135,158,85.4,25,45,55.6,0,0.5,0.4,-0.5,12,27,5,1,32
28,112,146,76.7,1414,136,77,90,85.6,25,33,75.8,3,5,60,0,0.1,0.2,-0.1,3,3,0,0,6
29,927,1089,85.1,19191,6739,281,316,88.9,492,537,91.6,143,209,68.4,2,1.6,1,+0.4,8,74,10,1,80
30,118,177,66.7,3748,2845,13,13,100,60,63,95.2,45,101,44.6,0,0,0,0,0,2,0,0,0
31,437,542,80.6,7705,2301,183,218,83.9,194,227,85.5,46,69,66.7,1,1,0.9,0,9,43,13,2,72
32,16,25,64,299,144,4,5,80,9,10,90,2,6,33.3,0,0.1,0.1,-0.1,1,1,1,0,2
33,660,803,82.2,13316,3718,258,293,88.1,259,298,86.9,124,176,70.5,2,1.5,1.5,+0.5,24,75,9,1,97
34,445,609,73.1,6589,2215,251,299,83.9,144,185,77.8,25,43,58.1,1,2.8,2.3,-1.8,23,50,27,2,94
35,404,513,78.8,8075,3443,145,157,92.4,207,238,87,48,106,45.3,0,0.4,0.2,-0.4,4,22,3,0,17
36,529,648,81.6,8431,3577,263,293,89.8,226,273,82.8,28,54,51.9,0,0.9,1.1,-0.9,2,51,10,5,77
