Rk,Touches,Def Pen.Touc,Def 3rd.Touc,Mid 3rd.Touc,Att 3rd.Touc,Att Pen.Touc,Live.Touc,Att.Touc,Succ.Take,Succ%.Take,Tkld.Take,Tkld%.Take,Carries,TotDist.Carr,PrgDist.Carr,PrgC.Carr,1/3.Carr,CPA.Carr,Mis.Carr,Dis.Carr,Rec.Rece,PrgR.Rece
1,1037,11,104,443,512,65,1037,92,33,35.9,44,47.8,623,3384,1416,40,31,13,65,71,702,134
2,5,0,0,4,1,0,5,0,0,,0,,3,6,1,0,0,0,0,0,4,0
3,6,0,3,3,0,0,6,1,1,100,0,0,2,9,0,0,0,0,1,1,3,0
4,1939,198,895,979,86,30,1939,27,15,55.6,11,40.7,1338,8419,4627,26,13,3,24,20,1153,8
5,936,15,145,568,250,17,936,47,27,57.4,18,38.3,714,4346,2114,39,41,6,26,17,645,82
6,1953,49,342,1328,301,15,1953,45,28,62.2,10,22.2,1624,8551,3042,29,52,3,37,29,1502,37
7,1126,56,395,648,97,3,1126,30,15,50,12,40,851,3724,1570,8,17,0,21,15,762,10
8,35,2,14,14,7,2,35,0,0,,0,,10,40,3,0,0,0,2,0,14,3
9,170,3,11,85,78,29,168,19,11,57.9,8,42.1,119,789,278,11,5,6,37,16,126,37
10,37,1,1,15,22,15,37,0,0,,0,,27,174,105,4,1,2,10,1,27,11
11,273,18,88,120,69,9,273,6,1,16.7,5,83.3,126,470,258,4,2,3,5,3,141,16
12,925,30,133,356,453,120,925,85,32,37.6,45,52.9,721,4701,2095,79,37,33,65,33,672,217
13,636,15,44,330,271,97,636,57,16,28.1,32,56.1,346,1760,709,28,17,13,51,25,499,105
14,11,0,1,9,1,0,11,0,0,,0,,7,19,7,0,0,0,1,0,8,0
15,1396,134,572,704,129,21,1396,7,3,42.9,3,42.9,767,3780,2097,29,25,2,7,4,933,23
16,8,6,8,0,0,0,8,0,0,,0,,8,42,34,0,0,0,0,0,2,0
17,25,0,4,11,10,0,25,1,0,0,1,100,21,134,75,2,2,0,0,1,19,1
18,1212,57,346,521,357,21,1212,40,13,32.5,22,55,657,3035,1504,33,26,4,23,19,724,68
19,663,26,63,265,347,94,663,30,15,50,11,36.7,371,1482,428,14,10,9,64,23,510,96
20,1628,44,376,1010,254,5,1628,22,7,31.8,12,54.5,818,3342,1555,19,21,0,28,18,919,20
21,296,6,31,127,144,48,296,26,6,23.1,15,57.7,158,866,333,11,8,5,26,16,183,57
