Rk,Gls.Stan,Sh.Stan,SoT.Stan,SoT%.Stan,Sh/90.Stan,SoT/90.Stan,G/Sh.Stan,G/SoT.Stan,Dist.Stan,FK.Stan,PK.Stan,PKatt.Stan,xG,npxG,npxG/Sh,G-xG,np:G-xG
1,1,37,8,21.6,1.55,0.34,0.03,0.13,18.4,2,0,0,3.6,3.6,0.1,-2.6,-2.6
2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
4,1,25,2,8,0.83,0.07,0.04,0.5,14.9,0,0,0,2.1,2.1,0.08,-1.1,-1.1
5,0,13,3,23.1,0.82,0.19,0,0,19.7,0,0,0,0.9,0.9,0.07,-0.9,-0.9
6,1,12,3,25,0.43,0.11,0.08,0.33,20.3,0,0,0,0.8,0.8,0.07,+0.2,+0.2
7,0,8,1,12.5,0.44,0.06,0,0,23.1,0,0,0,0.4,0.4,0.05,-0.4,-0.4
8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
9,2,14,5,35.7,1.88,0.67,0.07,0.2,22.5,0,1,2,2.8,1.3,0.09,-0.8,-0.3
10,1,6,2,33.3,5.05,1.68,0.17,0.5,12.2,0,0,0,0.8,0.8,0.13,+0.2,+0.2
11,0,4,1,25,0.92,0.23,0,0,8.2,0,0,0,1.7,1.7,0.42,-1.7,-1.7
12,6,66,23,34.8,2.86,1,0.09,0.26,16.9,0,0,0,8.3,8.3,0.13,-2.3,-2.3
13,6,52,23,44.2,2.59,1.14,0.12,0.26,11.5,0,0,0,9.8,9.8,0.19,-3.8,-3.8
14,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
15,0,15,2,13.3,0.76,0.1,0,0,15.7,0,0,0,0.8,0.8,0.06,-0.8,-0.8
16,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
17,0,1,0,0,2.5,0,0,,26.1,0,0,0,0.1,0.1,0.12,-0.1,-0.1
18,3,18,5,27.8,1.08,0.3,0.17,0.6,26.9,1,0,0,0.9,0.9,0.05,+2.1,+2.1
19,5,42,14,33.3,2.02,0.67,0.12,0.36,13.9,0,0,0,5.9,5.9,0.14,-0.9,-0.9
20,0,4,0,0,0.17,0,0,,27.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
21,1,21,11,52.4,2.99,1.56,0.05,0.09,14,0,0,0,3.4,3.4,0.16,-2.4,-2.4
22,1,7,4,57.1,0.49,0.28,0.14,0.25,17,0,0,0,0.3,0.3,0.04,+0.7,+0.7
23,0,1,0,0,0.84,0,0,,25.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
24,3,20,9,45,2.08,0.93,0.15,0.33,17.4,0,0,0,2.5,2.5,0.13,+0.5,+0.5
25,3,28,12,42.9,2.38,1.02,0.11,0.25,14,1,0,0,3.7,3.7,0.13,-0.7,-0.7
26,0,2,2,100,1.45,1.45,0,0,18.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1
27,1,11,2,18.2,0.93,0.17,0.09,0.5,16.6,1,0,0,1.1,1.1,0.1,-0.1,-0.1
28,0,17,1,5.9,2.49,0.15,0,0,18.1,0,0,0,1.5,1.5,0.09,-1.5,-1.5
29,0,20,3,15,0.95,0.14,0,0,15.4,0,0,0,1.6,1.6,0.08,-1.6,-1.6
30,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
31,0,7,2,28.6,0.82,0.23,0,0,15.1,0,0,0,0.7,0.7,0.1,-0.7,-0.7
32,0,1,0,0,1.84,0,0,,15.9,0,0,0,0,0,0.04,0,0
33,1,13,4,30.8,0.87,0.27,0.08,0.25,25,0,0,0,0.7,0.7,0.05,+0.3,+0.3
34,0,21,5,23.8,1.04,0.25,0,0,20.4,0,0,0,1.2,1.2,0.06,-1.2,-1.2
35,1,8,1,12.5,0.68,0.09,0.13,1,9.4,0,0,0,1.4,1.4,0.18,-0.4,-0.4
36,0,3,2,66.7,0.3,0.2,0,0,14.9,0,0,0,0.2,0.2,0.07,-0.2,-0.2
37,0,3,0,0,2.9,0,0,,15.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2
38,2,16,5,31.3,1.03,0.32,0.13,0.4,22.1,0,0,0,0.8,0.8,0.05,+1.2,+1.2
39,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
