Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.p90,Ast.p90,G+A.p90,G-PK.p90,G+A-PK.p90,xG.p90,xAG.p90,xG+xAG.p90,npxG.p90,npxG+xAG.p90
1,Brenden Aaronson,us USA,MFFW,Leeds United,eng Premier League,22-174,2000,29,26,2144,23.8,1,3,4,1,0,0,2,0,3.6,3.6,4.1,7.6,40,79,134,0.04,0.13,0.17,0.04,0.17,0.15,0.17,0.32,0.15,0.32
2,Paxten Aaronson,us USA,MF,Eint Frankfurt,de Bundesliga,19-231,2003,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,James Abankwah,ie IRL,DF,Udinese,it Serie A,19-088,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35-198,1987,30,30,2700,30,1,1,2,1,0,0,3,0,2.1,2.1,0.4,2.5,26,167,8,0.03,0.03,0.07,0.03,0.07,0.07,0.01,0.08,0.07,0.08
5,Himad Abdelli,fr FRA,MFFW,Angers,fr Ligue 1,23-148,1999,22,16,1426,15.8,0,0,0,0,0,0,2,0,0.9,0.9,2,2.9,39,93,82,0,0,0,0,0,0.06,0.12,0.18,0.06,0.18
6,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23-019,2000,28,28,2516,28,1,1,2,1,0,0,5,0,0.8,0.8,1.5,2.4,29,142,37,0.04,0.04,0.07,0.04,0.07,0.03,0.06,0.08,0.03,0.08
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30-072,1993,21,20,1629,18.1,0,1,1,0,0,0,5,1,0.4,0.4,1.1,1.4,8,91,10,0,0.06,0.06,0,0.06,0.02,0.06,0.08,0.02,0.08
8,Oliver Abildgaard,dk DEN,MFDF,Hellas Verona,it Serie A,26-308,1996,4,0,78,0.9,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,1,3,0,0,0,0,0,0,0.07,0.07,0,0.07
9,Matthis Abline,fr FRA,FW,Auxerre,fr Ligue 1,20-017,2003,12,8,669,7.4,2,1,3,1,1,2,0,0,2.8,1.3,0.7,1.9,11,7,37,0.27,0.13,0.4,0.13,0.27,0.38,0.09,0.47,0.17,0.26
10,Matthis Abline,fr FRA,FWMF,Rennes,fr Ligue 1,20-017,2003,11,0,107,1.2,1,0,1,1,0,0,0,0,0.8,0.8,0.3,1,4,2,11,0.84,0,0.84,0.84,0.84,0.65,0.22,0.87,0.65,0.87
11,Abner,br BRA,DF,Betis,es La Liga,22-322,2000,8,5,392,4.4,0,0,0,0,0,0,2,0,1.7,1.7,0.1,1.8,4,11,16,0,0,0,0,0,0.39,0.02,0.41,0.39,0.41
12,Zakaria Aboukhlal,ma MAR,FWMF,Toulouse,fr Ligue 1,23-055,2000,30,24,2077,23.1,6,5,11,6,0,0,4,0,8.3,8.3,2.8,11.1,79,58,217,0.26,0.22,0.48,0.26,0.48,0.36,0.12,0.48,0.36,0.48
13,Tammy Abraham,eng ENG,FW,Roma,it Serie A,25-194,1997,29,21,1808,20.1,6,3,9,6,0,0,2,0,9.8,9.8,2.9,12.7,28,40,105,0.3,0.15,0.45,0.3,0.45,0.49,0.14,0.63,0.49,0.63
