,SCA,SCA,SCA,SCA,SCA,SCA,SCA,SCA,GCA,GCA,GCA,GCA,GCA,GCA,GCA,GCA
Rk,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
1,46,1.44,34,3,2,3,3,1,3,0.09,3,0,0,0,0,0
2,22,0.66,17,0,2,1,0,2,1,0.03,1,0,0,0,0,0
3,50,1.83,41,0,0,4,4,1,3,0.11,3,0,0,0,0,0
4,83,2.53,67,2,3,1,7,3,9,0.27,8,0,0,0,1,0
5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,15,1.85,10,0,0,2,2,1,2,0.25,1,0,0,1,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,94,2.74,62,1,6,17,7,1,14,0.41,6,0,2,3,3,0
9,3,0.48,1,0,0,2,0,0,1,0.16,0,0,0,1,0,0
10,17,0.61,13,1,0,1,2,0,2,0.07,1,0,0,0,1,0
11,8,2.78,4,0,1,2,1,0,1,0.35,0,0,0,1,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,75,2.99,48,19,2,3,3,0,3,0.12,1,2,0,0,0,0
14,51,2.25,32,0,2,4,11,2,5,0.22,3,0,1,0,0,1
15,26,1.73,23,1,1,1,0,0,4,0.27,4,0,0,0,0,0
16,11,2.98,8,0,2,0,0,1,1,0.27,1,0,0,0,0,0
17,10,2.56,8,0,1,0,0,1,0,0,0,0,0,0,0,0
18,49,3.51,39,1,3,4,2,0,6,0.43,5,0,0,1,0,0
19,121,4.82,81,22,6,3,5,4,18,0.72,13,3,1,0,1,0
20,10,2.05,9,1,0,0,0,0,0,0,0,0,0,0,0,0
21,23,3.1,14,0,2,2,5,0,2,0.27,1,0,1,0,0,0
22,32,1.78,25,3,2,0,2,0,3,0.17,2,0,1,0,0,0
23,1,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,35,1.69,28,1,1,4,1,0,2,0.1,2,0,0,0,0,0
25,39,2.84,21,0,6,4,4,4,3,0.22,1,0,0,0,0,2
26,15,0.49,10,0,0,4,1,0,4,0.13,3,0,0,0,1,0
27,3,1.78,3,0,0,0,0,0,0,0,0,0,0,0,0,0
28,32,1.35,25,3,1,1,2,0,4,0.17,3,1,0,0,0,0
