,Tota,Tota,Tota,Tota,Tota,Shor,Shor,Shor,Medi,Medi,Medi,Long,Long,Long,,,,,,,,,,
Rk,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1,1107,1469,75.4,16588,6133,645,713,90.5,383,511,75,57,160,35.6,2,1.7,1.7,+0.3,20,50,37,9,117,Matches
2,1284,1578,81.4,25516,9586,415,469,88.5,715,787,90.9,145,266,54.5,0,0.8,0.6,-0.8,9,95,7,0,119,Matches
3,1535,1701,90.2,25518,5456,748,805,92.9,655,699,93.7,108,129,83.7,0,0.9,0.8,-0.9,17,87,13,1,108,Matches
4,1342,1660,80.8,23767,6837,606,679,89.2,535,620,86.3,152,236,64.4,2,3.7,2.6,-1.7,35,147,23,9,171,Matches
5,3,7,42.9,46,0,2,3,66.7,1,3,33.3,0,0,,0,0,0,0,0,0,0,0,0,Matches
6,84,137,61.3,1009,278,53,78,67.9,23,36,63.9,1,3,33.3,1,1.3,0.6,-0.3,7,5,6,0,17,Matches
7,7,9,77.8,72,15,5,7,71.4,1,1,100,0,0,,0,0,0,0,0,0,1,0,2,Matches
8,485,696,69.7,6820,1622,293,401,73.1,134,180,74.4,28,39,71.8,4,4.8,2.4,-0.8,38,35,27,3,70,Matches
9,191,226,84.5,3666,1177,56,67,83.6,113,119,95,18,28,64.3,0,0,0,0,0,8,0,0,10,Matches
10,1837,2043,89.9,34996,12273,678,731,92.7,919,968,94.9,211,296,71.3,0,0.5,0.8,-0.5,5,119,6,0,119,Matches
11,37,64,57.8,481,117,22,32,68.8,10,18,55.6,1,3,33.3,1,0.4,0.3,+0.6,3,3,3,2,2,Matches
12,6,9,66.7,102,10,1,1,100,3,6,50,1,1,100,0,0,0,0,0,0,0,0,0,Matches
13,1543,1963,78.6,29328,10206,662,722,91.7,640,767,83.4,219,392,55.9,3,2.9,4.1,+0.1,43,115,43,27,131,Matches
14,304,472,64.4,4188,1017,188,256,73.4,73,106,68.9,18,34,52.9,3,3,1.7,0,26,24,10,0,33,Matches
15,794,918,86.5,11903,3451,424,460,92.2,278,307,90.6,49,71,69,1,0.9,1.4,+0.1,7,85,8,0,96,Matches
16,73,101,72.3,991,255,44,57,77.2,28,35,80,0,3,0,0,0.5,0.5,-0.5,4,5,4,2,9,Matches
17,107,147,72.8,1681,608,51,63,81,39,47,83,9,14,64.3,0,0.5,0.2,-0.5,3,8,3,0,16,Matches
18,376,516,72.9,5007,1529,219,272,80.5,125,166,75.3,9,18,50,2,2.1,1.5,-0.1,14,27,19,4,56,Matches
19,906,1251,72.4,17505,6047,410,480,85.4,310,407,76.2,157,279,56.3,7,5.7,4.3,+1.3,59,122,36,4,164,Matches
20,205,239,85.8,3121,883,105,113,92.9,78,84,92.9,12,22,54.5,0,0.4,0.3,-0.4,6,14,4,1,19,Matches
