,Stan,Stan,Stan,Stan,Stan,Stan,Stan,Stan,Stan,Stan,Stan,Stan,Expe,Expe,Expe,Expe,Expe
Rk,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
1,0,13,2,15.4,0.41,0.06,0,0,19.9,0,0,0,0.8,0.8,0.06,-0.8,-0.8
2,2,18,6,33.3,0.54,0.18,0.11,0.33,18.3,0,0,0,1.2,1.2,0.07,+0.8,+0.8
3,1,18,5,27.8,0.66,0.18,0.06,0.2,21.5,0,0,0,0.7,0.7,0.04,+0.3,+0.3
4,0,29,7,24.1,0.88,0.21,0,0,24.2,0,0,0,1.5,1.5,0.05,-1.5,-1.5
5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
6,0,18,4,22.2,2.23,0.5,0,0,16.7,0,0,0,1.8,1.8,0.1,-1.8,-1.8
7,0,2,0,0,1.75,0,0,,9.5,0,0,0,0.3,0.3,0.14,-0.3,-0.3
8,17,92,35,38,2.68,1.02,0.15,0.4,12.9,3,3,3,20.7,18.4,0.2,-3.7,-4.4
9,0,2,0,0,0.32,0,0,,9,0,0,0,0.3,0.3,0.14,-0.3,-0.3
10,4,15,7,46.7,0.53,0.25,0.27,0.57,10.8,0,0,0,2.4,2.4,0.16,+1.6,+1.6
11,0,10,2,20,3.47,0.69,0,0,16.1,0,0,0,0.4,0.4,0.04,-0.4,-0.4
12,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
13,1,16,5,31.3,0.64,0.2,0.06,0.2,21.7,1,0,0,1.2,1.2,0.08,-0.2,-0.2
14,7,49,24,49,2.16,1.06,0.14,0.29,13.3,0,0,0,7.1,7.1,0.15,-0.1,-0.1
15,0,2,0,0,0.13,0,0,,21.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2
16,1,3,2,66.7,0.82,0.54,0.33,0.5,17.2,0,0,0,0.7,0.7,0.22,+0.3,+0.3
17,0,4,1,25,1.02,0.26,0,0,11.8,0,0,0,0.4,0.4,0.09,-0.4,-0.4
18,3,37,19,51.4,2.65,1.36,0.08,0.16,15.1,0,0,0,4.3,4.3,0.12,-1.3,-1.3
19,1,32,15,46.9,1.27,0.6,0.03,0.07,21.2,4,0,0,2,2,0.06,-1,-1
20,0,2,2,100,0.41,0.41,0,0,22.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1
21,2,17,7,41.2,2.29,0.94,0.12,0.29,16.1,0,0,0,1.7,1.7,0.1,+0.3,+0.3
22,0,4,0,0,0.22,0,0,,19.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2
23,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
24,0,15,1,6.7,0.72,0.05,0,0,11.9,0,0,0,1.2,1.1,0.07,-1.2,-1.1
25,3,21,11,52.4,1.53,0.8,0.14,0.27,17.2,0,0,0,2.6,2.6,0.12,+0.4,+0.4
26,2,25,7,28,0.82,0.23,0.08,0.29,9.4,0,0,0,2.1,2.1,0.08,-0.1,-0.1
27,1,6,1,16.7,3.58,0.6,0.17,1,12,0,0,0,1,1,0.17,0,0
28,0,10,2,20,0.42,0.08,0,0,22.8,0,0,0,0.3,0.3,0.03,-0.3,-0.3
29,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
30,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
31,0,8,4,50,0.53,0.27,0,0,16,0,0,0,0.4,0.4,0.05,-0.4,-0.4
32,1,17,2,11.8,1.52,0.18,0.06,0.5,21.2,0,0,0,1.9,1.9,0.11,-0.9,-0.9
33,0,6,1,16.7,0.2,0.03,0,0,13.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3
34,0,10,4,40,0.63,0.25,0,0,23.6,0,0,0,0.2,0.2,0.02,-0.2,-0.2
35,1,13,4,30.8,0.64,0.2,0.08,0.25,17.6,0,0,0,0.6,0.6,0.04,+0.4,+0.4
